,PERIODS,Monthly_Payment,Interests_Paid,Principal_Paid
0,2021-03-01,291.7864282217746,239.58333333333337,52.20309488844123
1,2021-04-01,291.7864282217746,239.33319350365957,52.45323471811503
2,2021-05-01,291.7864282217746,239.08185508730193,52.70457313447267
3,2021-06-01,291.7864282217746,238.8293123410326,52.95711588074201
4,2021-07-01,291.7864282217746,238.575559494104,53.2108687276706
5,2021-08-01,291.7864282217746,238.32059074811727,53.46583747365733
6,2021-09-01,291.7864282217746,238.06440027688933,53.72202794488527
7,2021-10-01,291.7864282217746,237.80698222632006,53.97944599545454
8,2021-11-01,291.7864282217746,237.54833071425853,54.23809750751607
9,2021-12-01,291.7864282217746,237.28843983036833,54.49798839140627
10,2022-01-01,291.7864282217746,237.02730363599284,54.75912458578176
11,2022-02-01,291.7864282217746,236.7649161640193,55.0215120577553
12,2022-03-01,291.7864282217746,236.50127141874253,55.285156803032066
13,2022-04-01,291.7864282217746,236.23636337572802,55.55006484604658
14,2022-05-01,291.7864282217746,235.97018598167404,55.816242240100564
15,2022-06-01,291.7864282217746,235.70273315427355,56.083695067501054
16,2022-07-01,291.7864282217746,235.43399878207507,56.352429439699534
17,2022-08-01,291.7864282217746,235.16397672434317,56.62245149743143
18,2022-09-01,291.7864282217746,234.89266081091802,56.89376741085658
19,2022-10-01,291.7864282217746,234.6200448420743,57.16638337970031
20,2022-11-01,291.7864282217746,234.3461225883799,57.4403056333947
21,2022-12-01,291.7864282217746,234.07088779055323,57.71554043122137
22,2023-01-01,291.7864282217746,233.79433415932027,57.99209406245433
23,2023-02-01,291.7864282217746,233.51645537527102,58.26997284650358
24,2023-03-01,291.7864282217746,233.23724508871487,58.54918313305973
25,2023-04-01,291.7864282217746,232.95669691953563,58.82973130223897
26,2023-05-01,291.7864282217746,232.6748044570457,59.111623764728904
27,2023-06-01,291.7864282217746,232.39156125983973,59.394866961934866
28,2023-07-01,291.7864282217746,232.1069608556471,59.67946736612751
29,2023-08-01,291.7864282217746,231.8209967411844,59.96543148059021
30,2023-09-01,291.7864282217746,231.53366238200658,60.25276583976802
31,2023-10-01,291.7864282217746,231.24495121235768,60.54147700941692
32,2023-11-01,291.7864282217746,230.95485663502083,60.83157158675377
33,2023-12-01,291.7864282217746,230.66337202116767,61.123056200606925
34,2024-01-01,291.7864282217746,230.37049071020644,61.41593751156816
