,PERIODS,Monthly_Payment,Interests_Paid,Principal_Paid
0,2021-03-01 00:00:00,1084.8368698855868,747.5,337.3368698855868
1,2021-04-01 00:00:00,1084.8368698855868,746.4036551728718,338.43321471271497
2,2021-05-01 00:00:00,1084.8368698855868,745.3037472250554,339.5331226605314
3,2021-06-01 00:00:00,1084.8368698855868,744.2002645764088,340.636605309178
4,2021-07-01 00:00:00,1084.8368698855868,743.0931956091539,341.7436742764329
5,2021-08-01 00:00:00,1084.8368698855868,741.9825286677556,342.85434121783123
6,2021-09-01 00:00:00,1084.8368698855868,740.8682520587977,343.9686178267891
7,2021-10-01 00:00:00,1084.8368698855868,739.7503540508604,345.08651583472636
8,2021-11-01 00:00:00,1084.8368698855868,738.6288228743977,346.20804701118914
9,2021-12-01 00:00:00,1084.8368698855868,737.5036467216113,347.3332231639755
10,2022-01-01 00:00:00,1084.8368698855868,736.3748137463284,348.4620561392584
11,2022-02-01 00:00:00,1084.8368698855868,735.2423120638758,349.59455782171096
12,2022-03-01 00:00:00,1084.8368698855868,734.1061297509553,350.73074013463145
13,2022-04-01 00:00:00,1084.8368698855868,732.9662548455177,351.8706150400691
14,2022-05-01 00:00:00,1084.8368698855868,731.8226753466375,353.01419453894925
15,2022-06-01 00:00:00,1084.8368698855868,730.675379214386,354.1614906712008
16,2022-07-01 00:00:00,1084.8368698855868,729.5243543697046,355.3125155158822
17,2022-08-01 00:00:00,1084.8368698855868,728.3695886942779,356.46728119130887
18,2022-09-01 00:00:00,1084.8368698855868,727.2110700304063,357.6257998551805
19,2022-10-01 00:00:00,1084.8368698855868,726.048786180877,358.78808370470983
20,2022-11-01 00:00:00,1084.8368698855868,724.8827249088366,359.9541449767502
21,2022-12-01 00:00:00,1084.8368698855868,723.7128739376622,361.12399594792464
22,2023-01-01 00:00:00,1084.8368698855868,722.5392209508315,362.29764893475533
23,2023-02-01 00:00:00,1084.8368698855868,721.3617535917936,363.47511629379323
24,2023-03-01 00:00:00,1084.8368698855868,720.1804594638386,364.6564104217482
25,2023-04-01 00:00:00,1084.8368698855868,718.995326129968,365.8415437556188
26,2023-05-01 00:00:00,1084.8368698855868,717.8063411127622,367.0305287728246
27,2023-06-01 00:00:00,1084.8368698855868,716.6134918942506,368.2233779913362
28,2023-07-01 00:00:00,1084.8368698855868,715.4167659157788,369.420103969808
29,2023-08-01 00:00:00,1084.8368698855868,714.2161505778769,370.6207193077099
30,2023-09-01 00:00:00,1084.8368698855868,713.0116332401268,371.82523664546
31,2023-10-01 00:00:00,1084.8368698855868,711.8032012210291,373.0336686645577
32,2023-11-01 00:00:00,1084.8368698855868,710.5908417978693,374.2460280877175
33,2023-12-01 00:00:00,1084.8368698855868,709.3745422065841,375.46232767900267
34,2024-01-01 00:00:00,1084.8368698855868,708.1542896416274,376.68258024395936
35,2024-02-01 00:00:00,1084.8368698855868,706.9300712558345,377.9067986297523
36,2024-03-01 00:00:00,1084.8368698855868,705.7018741602878,379.13499572529895
37,2024-04-01 00:00:00,1084.8368698855868,704.4696854241807,380.36718446140605
38,2024-05-01 00:00:00,1084.8368698855868,703.2334920746812,381.6033778109056
39,2024-06-01 00:00:00,1084.8368698855868,701.9932810967957,382.84358878879107
40,2024-07-01 00:00:00,1084.8368698855868,700.7490394332322,384.08783045235464
41,2024-08-01 00:00:00,1084.8368698855868,699.500753984262,385.3361159013248
42,2024-09-01 00:00:00,1084.8368698855868,698.2484116075829,386.58845827800394
43,2024-10-01 00:00:00,1084.8368698855868,696.9919991181791,387.84487076740766
44,2024-11-01 00:00:00,1084.8368698855868,695.7315032881851,389.1053665974017
45,2024-12-01 00:00:00,1084.8368698855868,694.4669108467436,390.36995903884315
46,2025-01-01 00:00:00,1084.8368698855868,693.1982084798673,391.6386614057195
47,2025-02-01 00:00:00,1084.8368698855868,691.9253828302988,392.91148705528803
48,2025-03-01 00:00:00,1084.8368698855868,690.6484204973691,394.1884493882177
49,2025-04-01 00:00:00,1084.8368698855868,689.3673080368576,395.4695618487292
50,2025-05-01 00:00:00,1084.8368698855868,688.082031960849,396.7548379247378
51,2025-06-01 00:00:00,1084.8368698855868,686.7925787375938,398.044291147993
52,2025-07-01 00:00:00,1084.8368698855868,685.4989347913626,399.33793509422424
53,2025-08-01 00:00:00,1084.8368698855868,684.2010865023065,400.63578338328034
54,2025-09-01 00:00:00,1084.8368698855868,682.8990202063109,401.9378496792759
55,2025-10-01 00:00:00,1084.8368698855868,681.5927221948532,403.2441476907336
56,2025-11-01 00:00:00,1084.8368698855868,680.2821787148583,404.55469117072846
57,2025-12-01 00:00:00,1084.8368698855868,678.9673759685535,405.8694939170333
58,2026-01-01 00:00:00,1084.8368698855868,677.6483001133232,407.1885697722636
59,2026-02-01 00:00:00,1084.8368698855868,676.3249372615633,408.51193262402353
60,2026-03-01 00:00:00,1084.8368698855868,674.9972734805352,409.83959640505157
61,2026-04-01 00:00:00,1084.8368698855868,673.6652947922187,411.1715750933681
62,2026-05-01 00:00:00,1084.8368698855868,672.3289871731654,412.5078827124214
63,2026-06-01 00:00:00,1084.8368698855868,670.9883365543499,413.8485333312369
64,2026-07-01 00:00:00,1084.8368698855868,669.6433288210235,415.1935410645633
65,2026-08-01 00:00:00,1084.8368698855868,668.2939498125637,416.5429200730231
66,2026-09-01 00:00:00,1084.8368698855868,666.9401853223263,417.89668456326046
67,2026-10-01 00:00:00,1084.8368698855868,665.5820210974958,419.25484878809095
68,2026-11-01 00:00:00,1084.8368698855868,664.2194428389345,420.6174270466523
