,PERIODS,Monthly_Payment,Interests_Paid,Principal_Paid
0,2021-03-01,279.2068473514918,222.91666666666666,56.29018068482512
1,2021-04-01,279.2068473514918,222.66570627778015,56.54114107371163
2,2021-05-01,279.2068473514918,222.4136270238265,56.79322032766527
3,2021-06-01,279.2068473514918,222.16042391653238,57.046423434959394
4,2021-07-01,279.2068473514918,221.90609194538482,57.30075540610696
5,2021-08-01,279.2068473514918,221.65062607753262,57.55622127395915
6,2021-09-01,279.2068473514918,221.3940212576862,57.81282609380557
7,2021-10-01,279.2068473514918,221.136272408018,58.07057494347379
8,2021-11-01,279.2068473514918,220.8773744280617,58.329472923430075
9,2021-12-01,279.2068473514918,220.6173221946114,58.58952515688037
10,2022-01-01,279.2068473514918,220.35611056162034,58.85073678987143
11,2022-02-01,279.2068473514918,220.0937343600988,59.11311299139297
12,2022-03-01,279.2068473514918,219.83018839801218,59.37665895347959
13,2022-04-01,279.2068473514918,219.56546746017793,59.641379891313846
14,2022-05-01,279.2068473514918,219.2995663081625,59.90728104332928
15,2022-06-01,279.2068473514918,219.0324796801777,60.17436767131409
16,2022-07-01,279.2068473514918,218.7642022909764,60.44264506051536
17,2022-08-01,279.2068473514918,218.49472883174826,60.71211851974351
18,2022-09-01,279.2068473514918,218.22405397001444,60.982793381477336
19,2022-10-01,279.2068473514918,217.95217234952204,61.25467500196973
20,2022-11-01,279.2068473514918,217.67907859013826,61.527768761353514
21,2022-12-01,279.2068473514918,217.40476728774388,61.802080063747894
22,2023-01-01,279.2068473514918,217.12923301412636,62.07761433736542
23,2023-02-01,279.2068473514918,216.85247031687229,62.35437703461949
24,2023-03-01,279.2068473514918,216.5744737192596,62.632373632232174
25,2023-04-01,279.2068473514918,216.29523772014923,62.91160963134254
26,2023-05-01,279.2068473514918,216.0147567938762,63.192090557615586
27,2023-06-01,279.2068473514918,215.73302539014014,63.47382196135163
28,2023-07-01,279.2068473514918,215.45003793389577,63.756809417596
29,2023-08-01,279.2068473514918,215.16578882524234,64.04105852624943
30,2023-09-01,279.2068473514918,214.88027243931282,64.32657491217896
31,2023-10-01,279.2068473514918,214.59348312616268,64.6133642253291
32,2023-11-01,279.2068473514918,214.3054152106581,64.90143214083366
33,2023-12-01,279.2068473514918,214.01606299236354,65.19078435912823
34,2024-01-01,279.2068473514918,213.72542074542915,65.48142660606263
35,2024-02-01,279.2068473514918,213.43348271847708,65.7733646330147
36,2024-03-01,279.2068473514918,213.14024313448826,66.06660421700352
37,2024-04-01,279.2068473514918,212.84569619068745,66.36115116080433
38,2024-05-01,279.2068473514918,212.5498360584289,66.65701129306288
39,2024-06-01,279.2068473514918,212.25265688308065,66.95419046841113
40,2024-07-01,279.2068473514918,211.954152783909,67.25269456758278
41,2024-08-01,279.2068473514918,211.65431785396186,67.55252949752992
42,2024-09-01,279.2068473514918,211.35314615995202,67.85370119153976
43,2024-10-01,279.2068473514918,211.05063174213973,68.15621560935205
44,2024-11-01,279.2068473514918,210.74676861421474,68.46007873727703
45,2024-12-01,279.2068473514918,210.4415507631777,68.76529658831407
46,2025-01-01,279.2068473514918,210.13497214922148,69.07187520227029
47,2025-02-01,279.2068473514918,209.8270267056114,69.37982064588039
48,2025-03-01,279.2068473514918,209.5177083385652,69.68913901292657
49,2025-04-01,279.2068473514918,209.2070109271326,69.99983642435919
50,2025-05-01,279.2068473514918,208.89492832307394,70.31191902841783
51,2025-06-01,279.2068473514918,208.5814543507389,70.62539300075287
52,2025-07-01,279.2068473514918,208.26658280694392,70.94026454454786
53,2025-08-01,279.2068473514918,207.9503074608495,71.25653989064227
54,2025-09-01,279.2068473514918,207.63262205383703,71.57422529765475
55,2025-10-01,279.2068473514918,207.31352029938503,71.89332705210674
56,2025-11-01,279.2068473514918,206.99299588294437,72.2138514685474
57,2025-12-01,279.2068473514918,206.67104246181376,72.53580488967802
58,2026-01-01,279.2068473514918,206.34765366501392,72.85919368647785
59,2026-02-01,279.2068473514918,206.02282309316175,73.18402425833003
60,2026-03-01,279.2068473514918,205.69654431834337,73.5103030331484
61,2026-04-01,279.2068473514918,205.36881088398727,73.83803646750451
62,2026-05-01,279.2068473514918,205.0396163047363,74.16723104675546
63,2026-06-01,279.2068473514918,204.70895406631954,74.49789328517224
64,2026-07-01,279.2068473514918,204.37681762542314,74.83002972606863
65,2026-08-01,279.2068473514918,204.04320040956114,75.16364694193064
66,2026-09-01,279.2068473514918,203.70809581694502,75.49875153454676
67,2026-10-01,279.2068473514918,203.37149721635348,75.8353501351383
68,2026-11-01,279.2068473514918,203.033397947001,76.17344940449078
69,2026-12-01,279.2068473514918,202.69379131840603,76.51305603308575
